seq,src,out_mp3,status,note
s001,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s001.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s001.mp3,ok,ok(attempt=1)
s002,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s002.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s002.mp3,ok,ok(attempt=1)
s003,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s003.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s003.mp3,ok,ok(attempt=1)
s004,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s004.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s004.mp3,ok,ok(attempt=1)
s005,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s005.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s005.mp3,ok,ok(attempt=1)
s006,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s006.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s006.mp3,ok,ok(attempt=1)
s007,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s007.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s007.mp3,ok,ok(attempt=1)
s008,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s008.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s008.mp3,ok,ok(attempt=1)
s009,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s009.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s009.mp3,ok,ok(attempt=1)
s010,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s010.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s010.mp3,ok,ok(attempt=1)
s011,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s011.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s011.mp3,ok,ok(attempt=1)
s012,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s012.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s012.mp3,ok,ok(attempt=1)
s013,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s013.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s013.mp3,ok,ok(attempt=1)
s014,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s014.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s014.mp3,ok,ok(attempt=1)
s015,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s015.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s015.mp3,ok,ok(attempt=1)
s016,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s016.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s016.mp3,ok,ok(attempt=1)
s017,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s017.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s017.mp3,ok,ok(attempt=1)
s018,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s018.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s018.mp3,ok,ok(attempt=1)
s019,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s019.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s019.mp3,ok,ok(attempt=1)
s020,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s020.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s020.mp3,ok,ok(attempt=1)
s021,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s021.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s021.mp3,ok,ok(attempt=1)
s022,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s022.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s022.mp3,ok,ok(attempt=1)
s023,/home/cailedao/hermes/jiaotongjilu_site_v2/books/book-01/s023.html,/home/cailedao/hermes/jiaotongjilu_site_v2/audio/book-01-daily/s023.mp3,ok,ok(attempt=1)
